Source,Source Title,Source Publication Date,Source Page Number,Source Link,Source Access Date,Repository,Source Citation,Item Title,Critic/Reporter,"Poet Name (Last, First Middle) [Alternate Name]",Poet Last Name,Poet Middle Names,Poet First Name,Mentioned Poets,Relative | Relationship to Poet,"Mentioned, Other | Profession",Poet Publication Details,Poet Pub Type,Publication Poet Mentioned In,Event Title,Event Date,Event Location,Event Type,Coordinates ,Excerpt,Commentary,Tags,Notes
Book Review,Rhodesia Herald,1910-12-30,p. 17,http://link.galegroup. com/apps/doc/UTJQTJ637745800/GDCS?u=linc74325&sid=GDCS&xid=df8a2fef,2019-06-27,Gale Primary Sources Database,"""African Poetry."" Rhodesia Herald, 30 Dec. 1910, p. 17. Nineteenth Century Collections Online, http://link.galegroup.
com/apps/doc/UTJQTJ637745800/GDCS?u=linc74325&sid=GDCS&xid=df8a2fef. Accessed 27 June 2019.",African Poetry,,"Alder, Alice Mabel
Allhusen, Beatrice
Byron, Mary
Blane, William
Davis, Philip Rufus
Evans, Hugh John
Morrison-Jacobs, David
Neale, H. Woodhouse [Mome]
Nelson, Robert Alexander
Skinner, Milton Cox
Walrond, Francis Ernley","Alder
Allhusen
Byron
Blane
Davis
Evans
Jacobs
Neale
Nelson
Skinner
Walrond","Mabel



Rufus
John
Morrison
Woodhouse
Alexander
Cox
Ernley","Alice
Beatrice
Mary
William
Philip
Hugh
David
""Mome"" H.
Robert
Milton
Francis",,,"Schreiner, Olive|Writer ","The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club. J. M. Dent and Sons, Ltd, 1910. ",Anthology,,Veldsinger's Club,1910,"Southwest Africa. South Africa. Johannesburg.
",Event|Social,,Anthology of poets in South Africa living in Johannesburg. The Veldsinger' Club is a small company of South Africans living in Johannesburg who enjoy poetry. They published a small collection of verses written by the members. Olive Schreiner writes the forward to this work. ,,"collection, veldsinger, collective, club",
News Report,Financial Times,1969-02-04,p. 3,http://tinyurl.galegroup.com/tinyurl/49BTqX,2016-12-15,Gale Primary Sources Database,"Jebb, Julian. ""Poetry Gala."" Financial Times 4 Feb. 1969: 3. The Financial Times Historical Archive,
1888-2010. Web. 15 Dec. 2016.
URL
http://tinyurl.galegroup.com/tinyurl/49BTqX",Poetry Gala,"Jebb, Julian ","Plomer, William",Plomer,,William,"Pound, Ezra 
Macdiarmid, Hugh 
Patten, Brian 
Pickard, Tom 
Bunting, Basil 
Flats, Brigg 
Logue, Christopher 
Garland, Patrick 
Smith, Stevie ",,"Jebb, Julian|Critic",,,,"60th Birthday of William Plomer, President of the Poetry Society",Tue Feb 04 00:00:00 CST 1969,Southwest Africa. South Africa. ,Event|Social,,"Julian Jebb recounts the evening of poetry recitals that occurred in celebration of William Plomer's 60th birthday. He served as the President of the Poetry Society, and his introduction ended ""with a tribute to two South African poets who had committed suicide.""",,"suicide, recital, event, death, funeral, memorial, conference, birthday, party, tribute",
Announcement,The Times Literary Supplement,1935-02-28,p. 123,"http://link.galegroup.com/apps/doc/
EX1200048505/GDCS?u=linc74325&sid=GDCS&xid=34a2931c",2019-07-06,Gale Primary Sources Database,"""SPRING ANNOUNCEMENTS."" The Times Literary Supplement, 28 Feb. 1935, p. 123. The
Times Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/
EX1200048505/GDCS?u=linc74325&sid=GDCS&xid=34a2931c. Accessed 6 July 2019.",Spring Announcements,,"Slater, Francis Carey [F. C.]",Slater,,Francis Carey [F. C.],,,"Munro, Neil|Writer
Fortescue, Winifred|Writer 
Shepard, Ernest H.|Artist
Marshall, Matt|Writer
Campbell, Gavin|Politician","Slater, F. C. Dark Folk and Other Poems. William Blackwood & Sons Ltd, Edinburgh and London, 1935.",Single Author|Selected Works,,,,,,,"The short announcement mentions the release of Francis Cary [sic] Slater's new collection of poetry, ""Dark Folk and Other Poems,"" along with a few other works also being published by Blackwoods.",,"collection, review, critic, announcement, publication, publisher, advertisement",
Announcement,The Times Literary Supplement,1949-06-17,p. 397,"http://link.galegroup.com/apps/doc/EX1200286322/GDCS?u=
linc74325&sid=GDCS&xid=604356e6",2019-07-06,Gale Primary Sources Database,"""Longmans."" The Times Literary Supplement, 17 June 1949, p. 397. The Times Literary Supplement
Historical Archive, http://link.galegroup.com/apps/doc/EX1200286322/GDCS?u=
linc74325&sid=GDCS&xid=604356e6. Accessed 6 July 2019.",Longmans,,"Slater, Francis Carey [F. C.]",Slater,,Francis Carey [F. C.],,,,"Slater, F. C. Veld Patriarch and Other Poems.  Longmans, Green and Co., 1949.",Single Author|Selected Works,,,,,,,"Selected works of the famous South African poet, whose verse portrays so vividly the atmosphere of his country.",,"collection, review, critic, landscape, nature",
Announcement,The Times,1824-07-07,p. 3,"http://link.galegroup.com/apps/doc/
CS51007207/GDCS?u=linc74325&sid=GDCS&xid=04a3cf1d",2019-06-29,Gale Primary Sources Database,"""AFRICAN ULTRA-ROYALISM.-The following ode from the Timbuctoo Anthology, in the New Monthly
Magazine, is."" Times, 7 July 1824, p. 3. The Times Digital Archive, http://link.galegroup.com/apps/doc/
CS51007207/GDCS?u=linc74325&sid=GDCS&xid=04a3cf1d. Accessed 29 June 2019.","African Ultra-Royalism: The following ode from the Timbuctoo Anthology, in the New Monthly Magazine, is.",,,,,,,,,,,Ode from Timbuctoo Anthology in New Monthly Magazine. Claims to be written by the Poet Laureate of central Africa.,,,,,,"Includes a poem supposedly written by the Poet Laureate of central Africa, featured originally in Timbuctoo Anthology in New Monthly Magazine. ",,"advertisement, publication",
Announcement,The Leicestershire Mercury and General Advertiser for the Midland Counties,1850-10-05,p. 4,,,Gale Primary Sources Database,"Varieties and Literary Extracts.
The Leicestershire Mercury and General Advertiser for the Midland Counties(Leicester, England),Saturday,
October 05, 1850; pg. 4; Issue 744.
Category: News
Sourced from the British Library
Gale Document Number:GW3224286511",Varieties and Literary Extracts,,,,,,,,,,,,,,,,,"African Poetry! --We give some specimens of the poetry of the African language. Among the Mongees, thunder is called ""the sky's gun,"" the morning ""the day's child;"" and when one is intoxicated, is said to be ""taken captive by rum."" A native of Africa, who has visited America some years ago, when asked what ice was, said, ""Him be water fast asleep,"" and of the rail-car, he said ""Him be one thundermill.""",,"thunder, native, landscape, nature, language, collection, review",
News Report,The Sunday Times,1972-03-26,p. 57[S]+,http://link.galegroup.com/apps/doc/FP1802532832/GDCS?u=linc74325&sid=GDCS&xid=55c215e0,2019-07-01,Gale Primary Sources Database,"""African Honeymoon."" The Sunday Times Magazine. Sunday Times, 26 Mar. 1972, p. 57[S]+. The Sunday Times Digital
Archive, http://link.galegroup.com/apps/doc/FP1802532832/GDCS?u=linc74325&sid=GDCS&xid=55c215e0.
Accessed 1 July 2019.",African Honeymoon,"Norman, Frank ","Mtshali, Oswald Joseph",Mtshali,Joseph,Oswald,,,"Norman, Frank|Reporter",,,,"South African apartheid

Cocktail Party / Frank Norman's Honeymoon
","1972

1972",Southwest Africa. South Africa. Cape Town.,"Event|Political

Event|Social",,"Frank Norman writes an article regarding his trip to South Africa and how his preconceived notions of the country line up with the actuality. He discusses he and his wife's flight in, how he has been warned by friends to ""trust no-one,"" and South African apartheid. At a cocktail party with friends, he meets Oswald Joseph Mtshali, the poet, of whom he says: ""His poems are lyrical and powerfully composed. They are a cry of anguish for the plight of the black man in South Africa and are often devastatingly critical of the Vorstere regime. But it cannot be said that they are a call to arms, which is doubtless why publication has been permitted -- in order that the world can see how liberal the South African Government really is.""",,"vacation, trip, honeymoon, apartheid, publication, government, critic",
News Report,Financial Times,1973-06-22,,"http://link.
galegroup.com/apps/doc/HS2300986965/GDCS?u=linc74325&sid=GDCS&xid=cfc90128",2019-06-29,Gale Primary Sources Database,"""S. A. Professor Resigns."" Financial Times, 22 June 1973. Financial Times Historical Archive, http://link.
galegroup.com/apps/doc/HS2300986965/GDCS?u=linc74325&sid=GDCS&xid=cfc90128. Accessed
29 June 2019.",S. A. Professor Resigns,,"Small, Adam",Small,,Adam,,,,,,,"Adam Small resigns from University of Western Cape

University of Western Cape closed, student demonstrations","1973-06-21


1973-06-11",Southwest Africa. South Africa. Cape Town.,"Event|Political

Event|Political",,"Mr. Adam Small, one of South Africa's leading Coloured intellectuals, has resigned his teaching post at the troubled University of the Western Cape, citing the enforced closure of the Coloured institution as one of his reasons.
The University has been closed since June 11 following student demonstrations against alleged restrictive rules and White domination in running the institution.",,"resign, apartheid, university, college, demonstration, protest",
News Report,The Times,1973-06-18,p. 4,"http://link.galegroup.com/apps/doc/CS68516050/GDCS?u=linc74325&sid=GDCS&xid=
efc94c99",2019-06-29,Gale Primary Sources Database,"""Coloured academics refuse to take part in 'witch-hunt'."" Times, 18 June 1973, p. 4. The Times Digital
Archive, http://link.galegroup.com/apps/doc/CS68516050/GDCS?u=linc74325&sid=GDCS&xid=
efc94c99. Accessed 29 June 2019.",Coloured academics refuse to take part in 'witch-hunt',,"Small, Adam",Small,,Adam,,,"Gerwel, G. J.|Academic
Johnson, C. T.|Academic
van der Merwe, Schalk|Politician ",,,,"University of Western Cape closed, student demonstrations",Mon Jun 11 00:00:00 CDT 1973,Southwest Africa. South Africa. Cape Town.,Event|Political,,"Three coloured academics have resigned from an otherwise all-white committee investigating readmissions to the Universty of the Western Cape, which was closed last week after student disturbances. 
The three, Mr. Adam Small, head of the university's philosophy department, Mr. G. J. Gerwel, lecturer in Afrikaans, and Mr. C. T. Johnson, lecturer in botany, had been named by Dr. Shalk van der Merwe, the Minister of Coloured Affairs, to serve on the committee with 10 white academics.
A spokesman for their staff association said last night that they had resigned because the minister had already said that some students would not be readmitted and they did not want to take part in a witch-hunt.",,"resign, apartheid, university, college, demonstration, protest, professor",
News Report,The Times,1978-03-10,p. 1,"http://link.galegroup.com/apps/doc/
CS17924714/GDCS?u=linc74325&sid=GDCS&xid=ee173067",2019-06-29,Gale Primary Sources Database,"""News in Brief."" Times, 10 Mar. 1978, p. 1. The Times Digital Archive, http://link.galegroup.com/apps/doc/
CS17924714/GDCS?u=linc74325&sid=GDCS&xid=ee173067. Accessed 29 June 2019.",In 'The Times' tomorrow,,"Small, Adam",Small,,Adam,,,"Greene, Graham|Writer 
Gordimer, Nadine|Writer
Franklin, Olga|Writer 
Heren, Louis|Politician",,,,,,,,,"A new novel by Graham Greene, his first since The Honorary Consul, is to be published in Britain shortly. An extract from The Human Factor, another exploration of the Greene country, will appear in the Saturday review tomorrow. Other articles include Louis Heren on Adam Small, the Afrikaans poet; an interview with Nadine Gorimer; Olga Franklin on cleaning the British Museum, and the monthly review of paperbacks.",,"publication, afrikaans, museum, review, interview",
Interview,The Times,1978-03-11,p. 12,"http://link.
galegroup.com/apps/doc/CS201687659/GDCS?u=linc74325&sid=GDCS&xid=9150a3aa",2019-06-27,Gale Primary Sources Database,"Heren, Louis. ""The language for poets."" Times, 11 Mar. 1978, p. 12. The Times Digital Archive, http://link.
galegroup.com/apps/doc/CS201687659/GDCS?u=linc74325&sid=GDCS&xid=9150a3aa. Accessed 27
June 2019.",The language for poets,"Heren, Louis ","Small, Adam",Small,,Adam,,,"Heren, Louis|Reporter",,,,Population Registration Act,1950,Southwest Africa. South Africa. Cape Town.,Event|Political,,"Louis Heren interviews Adam Small on life in South Africa under apartheid. Adam Small, a black South African, discusses the way in which people who speak Afrikaans are ""the true South Africans,"" and that ""the whites...were obsessed with colour."" He describes the limitations his children will face: ""You cannot send your children to the best schools you can afford; only the second-or third-rate. They were bogged down in life despite their talents, from the word go."" ",,"interview, apartheid, afrikaans, protest",
News Report,Financial Times,1985-08-21,p. 1,"http://link.galegroup.com/apps/doc/HS2304534627/GDCS?u=linc74325&sid=
GDCS&xid=173033a4",2019-07-06,Gale Primary Sources Database,"""Lebanese Factions in Rocket Duel."" Financial Times, 21 Aug. 1985, p. [1]. Financial Times Historical
Archive, http://link.galegroup.com/apps/doc/HS2304534627/GDCS?u=linc74325&sid=
GDCS&xid=173033a4. Accessed 6 July 2019.",Black poet reprieved,,"Moloise, Benjamin",Moloise,,Benjamin,,,,,,,Execution of Benjamin Moloise,1983,"Southwest Africa. South Africa. Johannesburg.
",Event|Political,,Lawyers won a 21-day stay of execution for black South African poet Benjamin Moloise who was due to have been hanged in Pretoria this morning for killing a policeman.,,"execution, imprisonment, jail, hanged, murder, policeman, death, arrest",
News Report,The Times,1985-08-21,p. 1,"http://link.galegroup.com/apps/doc/CS18452757/GDCS?u=linc74325&sid=GDCS&xid=
d4084d9d",2019-06-29,Gale Primary Sources Database,"Kennedy, Ray. ""Pretoria judge delays hanging."" Times, 21 Aug. 1985, p. 1. The Times Digital
Archive, http://link.galegroup.com/apps/doc/CS18452757/GDCS?u=linc74325&sid=GDCS&xid=
d4084d9d. Accessed 29 June 2019.",Pretoria judge delays hanging,"Kennedy, Ray ","Moloise, Benjamin",Moloise,,Benjamin,,,"Kennedy, Ray|Reporter
Selope, Phillip|Civilian
Botha, P.W.|Politician
Jana, Priscilla|Civilian
Eloff, C. F.|Civilian",,,,Execution of Benjamin Moloise,1983,"Southwest Africa. South Africa. Johannesburg.
",Event|Political,,"A three week stay of execution was granted last night to Benjamin Moloise, who was due to be hanged shortly after dawn today for the murder of a black security policeman... Moloise, a poet and upholsterer, aged 30, was convincted in November 1983 of the murder of Warrant Officer Phillip Selope, who was shot in an ambush in a township outside Pretoria a year earlier. 
The African National Congress has said it ordered the ""execution"" of the policeman for his part in the arrest of three ANC guerrillas who were later hanged in Pretoria, but that Moloise had no part in it.",,"execution, imprisonment, jail, hanged, murder, policeman, death, arrest",
